BILLID,ROID,ITEMCODE,CUSTID,BILLAMOUNT,BILLDATE,QUANTITY
5001,R1001,I1002,2001,342.38,02-Jun-15,3
5002,R1001,I1001,2002,86.62,02-Jun-15,4
5003,R1001,I1004,2002,359.71,03-Jun-15,1
5004,R1002,I1003,2003,64.2,03-Jun-15,3
5005,R1002,I1002,2005,283.28,03-Jun-15,2
5006,R1002,I1004,2004,1222.8,05-Jun-15,3
5007,R1002,I1013,2007,2344.21,05-Jun-15,1
5008,R1002,I1007,2002,1628.36,06-Jun-15,2
5009,R1001,I1011,2005,5441.46,08-Jun-15,1
5010,R1001,I1013,2007,8983.5,08-Jun-15,4
5011,R1001,I1015,2002,7846.3,08-Jun-15,1
5012,R1002,I1008,2004,5092.96,10-Jun-15,2
5013,R1002,I1010,2008,6930.22,10-Jun-15,1